0;0;Maluma;Hawai;2;20;./Data/Music/Reggaeton/1. Maluma-Hawai-.mp3;./Data/Music/Reggaeton/1. Maluma-Hawai-.txt
0;0;Rosalia, Sech, Jbalvin;Relacion Remix;2;26;./Data/Music/Reggaeton/2. Rosalia, Sech, Jbalvin - Relacion Remix.mp3;./Data/Music/Reggaeton/2. Rosalia, Sech, Jbalvin - Relacion Remix.txt
0;0;Karol G ;Ay Dios Mio!;2;31;./Data/Music/Reggaeton/3. Karol G - Ay Dios.mp3;./Data/Music/Reggaeton/3. Karol G - Ay Dios.txt
0;0;Ozuna, Karol G, Mike Towers ;Caramelo Remix;2;38;./Data/Music/Reggaeton/4. Ozuna, Karol G, Mike Towers - Caramelo Remix.mp3;./Data/Music/Reggaeton/4. Ozuna, Karol G, Mike Towers - Caramelo Remix.txt
0;0;J Balvin,  Willy Williams;Mi Gente;2;32;./Data/Music/Reggaeton/5. J Balvin , Willy Williams, - Mi gente.mp3;./Data/Music/Reggaeton/5. J Balvin , Willy Williams, - Mi gente.txt
1;0;Ibiza 2020 (Original Mix);Fiasco;3;25;./Data/Music/Techno House/1. Fiasco-techno-house.mp3;./Data/Music/Techno House/1. Fiasco-techno-house.txt
1;0;Original Mix;I Feel House;0;15;./Data/Music/Techno House/3. I Feel House (Original Mix).mp3;./Data/Music/Techno House/3. I Feel House (Original Mix).txt
1;0;Original Mix 2;La Roli;0;15;./Data/Music/Techno House/4. La Roli Original Mix).mp3;./Data/Music/Techno House/4. La Roli Original Mix).txt
1;0;Original Ibiza;Pishing On;3;15;./Data/Music/Techno House/5. Pishing On - (Original Mix).mp3;./Data/Music/Techno House/5. Pishing On - (Original Mix).txt
2;0;Monchy y Alenxandra;Dos Locos;3;33;./Data/Music/Bachata/1. Dos Locos - Monchy y Alenxandra.mp3;./Data/Music/Bachata/1. Dos Locos - Monchy y Alenxandra.txt
2;0;Prince Royce;Sin Cara;0;31;./Data/Music/Bachata/2. Sin Cara - Prince Royce.mp3;./Data/Music/Bachata/2. Sin Cara - Prince Royce.txt
2;0;Romeo Santos;Heroe Favorito;0;21;./Data/Music/Bachata/3. Heroe Favorito - Romeo Santos.mp3;./Data/Music/Bachata/3. Heroe Favorito - Romeo Santos.txt
2;0;Romeo Santos;Imitadora;0;25;./Data/Music/Bachata/4. Imitadora - Romero Santos.mp3;./Data/Music/Bachata/4. Imitadora - Romero Santos.txt
2;0;Romeo Santos;Propuesta indecente;./Data/Music/Bachata/5. Propuesta Indecente - Romeo Santos.mp3;./Data/Music/Bachata/5. Propuesta Indecente - Romeo Santos.txt
3;0;Wilfrido Vargas;Abusasora;1;33;./Data/Music/Merengue/1. Abusasora - Wilfrido Vargas.mp3;./Data/Music/Merengue/1. Abusasora - Wilfrido Vargas.txt
3;0;Rikarena;Ay;1;18;./Data/Music/Merengue/2. Ay - Rikarena.mp3;./Data/Music/Merengue/2. Ay - Rikarena.txt
3;0;Juan Luis Guerra;La Bilirrubina;1;20;./Data/Music/Merengue/3. La Bilirrubina  - Juan Luis Guerra.mp3;./Data/Music/Merengue/3. La Bilirrubina  - Juan Luis Guerra.txt
3;0;Juan Luis Guerra; Me Enamoro de ella;1;30;./Data/Music/Merengue/4. Me Enamoro de ella.- Juan Luis Guerra.mp3;./Data/Music/Merengue/4. Me Enamoro de ella.- Juan Luis Guerra.txt
3;0;Los Hermanos Rosario;Morena Ven;1;22;./Data/Music/Merengue/5. Morena Ven - Los Hermanos Rosario.mp3;./Data/Music/Merengue/5. Morena Ven - Los Hermanos Rosario.txt
